Sort ID,Druckenbrod Sort ID,Key,APS call number,File name,Transaction number (on this page),APS Digital Library page image URL,APS notes,Druckenbrod notes,Date of entry,Time of entry as transcribed,Time of entry standardized,Wind direction as transcribed,Wind direction standardized,Temperature (Fahrenheit) as transcribed,Temperature (Fahrenheit) standardized,Daily temp high (Fahrenheit) as transcribed,Temp high entry time as transcribed,Temp high entry time standardized,Precipitation time,Precipitation type,Precipitation measurement (inches),Observer,Meteorological observations as transcribed,Cloudy,Fair,Smokey,Misty,Frost,Snow,Sleet,Overcast,Clear,Rain,Foggy,Hail,Thunder,Lightning,Hazy,Muddy,Natural Phenomena,Birds,Mammals,Reptiles/Amphibians,Insects/Arthropods,Fish/Aquatic,Plants,Leafing,Losing Leaves,Blooming,Planted,Harvested,Availability of produce,Trees,Seasonal Phenomena,Other observations transcribed
3655,4451, APS-275669-002_07,Mss.551.5.M26,275669-2,7,https://diglib.amphilsoc.org/islandora/object/text%3A275669-2,,,1789-01-07,sunrise,0:00,Southerly,S,30,,,,,,,,James Madison,overcast,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,
3656,4455, APS-275669-002_08,Mss.551.5.M26,275669-2,8,https://diglib.amphilsoc.org/islandora/object/text%3A275669-2,,,1789-01-08,2 O'Clock,14:00,,,42,,,,,,,,James Madison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3657,4456, APS-275669-002_08,Mss.551.5.M26,275669-2,8,https://diglib.amphilsoc.org/islandora/object/text%3A275669-2,,,1789-01-08,4 O'Clock,16:00,SE,SE,42,,,,,,,,James Madison,thin clouds,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3658,4454, APS-275669-002_08,Mss.551.5.M26,275669-2,8,https://diglib.amphilsoc.org/islandora/object/text%3A275669-2,,,1789-01-08,sunrise,0:00,S,S,30,,,,,,,,James Madison,"overcast, thin clouds",y,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,
3659,4458, APS-275669-002_09,Mss.551.5.M26,275669-2,9,https://diglib.amphilsoc.org/islandora/object/text%3A275669-2,,,1789-01-09,2 O'Clock,14:00,,,33.5,,,,,,,,James Madison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3660,4459, APS-275669-002_09,Mss.551.5.M26,275669-2,9,https://diglib.amphilsoc.org/islandora/object/text%3A275669-2,,wind,1789-01-09,4 O'Clock,16:00,N/W,N/W,34,,,,,,,,James Madison,fair,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3661,4457, APS-275669-002_09,Mss.551.5.M26,275669-2,9,https://diglib.amphilsoc.org/islandora/object/text%3A275669-2,,,1789-01-09,sunrise,0:00,N,N,23,,,,,,,,James Madison,clear,,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,
3662,4461, APS-275669-002_10,Mss.551.5.M26,275669-2,10,https://diglib.amphilsoc.org/islandora/object/text%3A275669-2,,,1789-01-10,2 O'Clock,14:00,,,30,,,,,,,,James Madison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3663,4462, APS-275669-002_10,Mss.551.5.M26,275669-2,10,https://diglib.amphilsoc.org/islandora/object/text%3A275669-2,,,1789-01-10,4 O'Clock,16:00,S,S,29.5,,,,,,,,James Madison,overcast,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,
3664,4460, APS-275669-002_10,Mss.551.5.M26,275669-2,10,https://diglib.amphilsoc.org/islandora/object/text%3A275669-2,,,1789-01-10,sunrise,0:00,S,S,22,,,,,,,,James Madison,"overcast, thin clouds",y,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,
